date_fin_semaine;semaine_num;phase;TRIMP;TRIMP_min;TRIMP_max
2025-09-07;-43;Renforcement musculaire;100.0;98.0;102.0
2025-09-14;-42;Renforcement musculaire;111.0;109.0;114.0
2025-09-21;-41;Renforcement musculaire;122.0;120.0;125.0
2025-09-28;-40;Renforcement musculaire;133.0;131.0;137.0
2025-10-05;-39;Renforcement musculaire;144.0;142.0;148.0
2025-10-12;-38;Renforcement musculaire;156.0;153.0;159.0
2025-10-19;-37;Renforcement musculaire;167.0;164.0;171.0
2025-10-26;-36;Renforcement musculaire;178.0;175.0;182.0
2025-11-02;-35;Renforcement musculaire;189.0;186.0;194.0
2025-11-09;-34;Renforcement musculaire;200.0;197.0;205.0
2025-11-16;-33;Transition;220.0;217.0;225.0
2025-11-23;-32;Transition;247.0;243.0;253.0
2025-11-30;-31;Transition;273.0;269.0;280.0
2025-12-07;-30;Transition;300.0;296.0;308.0
2025-12-14;-29;Build;330.0;325.0;338.0
2025-12-21;-28;Build;355.0;349.0;364.0
2025-12-28;-27;Build;379.0;374.0;389.0
2026-01-04;-26;Build;404.0;398.0;414.0
2026-01-11;-25;Build;429.0;422.0;439.0
2026-01-18;-24;Build;453.0;447.0;465.0
2026-01-25;-23;Build;478.0;471.0;490.0
2026-02-01;-22;Build;503.0;495.0;515.0
2026-02-08;-21;Build;527.0;519.0;540.0
2026-02-15;-20;Build;552.0;544.0;566.0
2026-02-22;-19;Build;577.0;568.0;591.0
2026-03-01;-18;Build;601.0;592.0;616.0
2026-03-08;-17;Build;626.0;617.0;642.0
2026-03-15;-16;Build;651.0;641.0;667.0
2026-03-22;-15;Build;675.0;665.0;692.0
2026-03-29;-14;Build;700.0;690.0;717.0
2026-04-05;-13;Peak;750.0;739.0;769.0
2026-04-12;-12;Peak;767.0;755.0;786.0
2026-04-19;-11;Peak;783.0;772.0;803.0
2026-04-26;-10;Peak;800.0;788.0;820.0
2026-05-03;-9;Peak;817.0;804.0;837.0
2026-05-10;-8;Peak;833.0;821.0;854.0
2026-05-17;-7;Peak;850.0;837.0;871.0
2026-05-24;-6;Peak;867.0;854.0;888.0
2026-05-31;-5;Peak;883.0;870.0;905.0
2026-06-07;-4;Peak;900.0;886.0;922.0
2026-06-14;-3;Taper;600.0;591.0;615.0
2026-06-21;-2;Taper;450.0;443.0;461.0
2026-06-28;-1;Taper;300.0;296.0;308.0
2026-07-05;0;Iron Man;100.0;98.5;102.5